instance family sat glasgowdegreenorestartsnonogoods glasgowantinorestartsnonogoods glasgowrandomnorestartsnonogoods glasgowbiasednorestartsnonogoods glasgowdegreenorestartsnonogoodsdds glasgowrandom glasgowbiased glasgowbiasednonogoods glasgowbiasedconstant10000threads36v2 glasgowbiasedconstant10000triggeredthreads36v2 glasgowbiasedthreads36v2
si2_b09_m200.05 3 1 0 0 0 0 0 0 0 0 5 8 7
si2_b09_m200.00 3 1 0 0 0 0 0 0 0 0 5 6 7
si2_b09_m200.02 3 1 0 0 0 0 0 0 0 0 5 5 6
si2_b09_m200.03 3 1 0 0 0 0 0 0 0 0 6 6 6
si2_b09_m200.04 3 1 0 0 0 0 0 0 0 0 6 5 6
si2_b09_m200.09 3 1 0 0 0 0 0 0 0 0 6 6 7
si2_b09_m200.07 3 1 0 0 0 0 0 0 0 0 5 5 8
si6_r01_m600.02 7 1 1272 61038 37488 1281 228 42013 2421 16568 1403 1398 554
si6_r01_m600.06 7 1 14 68639 19879 1682 31 945 84 84 116 118 111
si6_r01_m600.09 7 1 6861 31448 15089 9652 14290 11920 5885 33338 1372 2102 196
si6_r01_m600.08 7 1 105241 166514 211580 134823 NaN 150426 94574 NaN 7488 7964 6879
si6_r01_m600.05 7 1 92 64229 25359 1471 304 4975 308 533 186 174 186
si6_r01_m600.07 7 1 5154 104204 68846 5859 4660 46296 6338 58959 1427 1353 1019
si6_r01_m600.03 7 1 1750 46084 18469 2321 737 10976 2154 1038 770 766 454
si6_r01_m600.00 7 1 889 14152 3083 1138 5683 11267 1348 912 399 327 340
si6_r01_m600.01 7 1 535 420281 363458 496 31695 175215 468 1670 377 389 281
si6_r01_m600.04 7 1 20259 289199 91013 14250 9305 169906 18092 152457 2158 3870 1057
si2_b06_m200.02 3 1 0 0 0 0 0 9 33 31 6 8 6
si2_b06_m200.00 3 1 0 0 0 0 0 0 0 0 5 5 5
si2_b06_m200.01 3 1 0 0 0 0 0 0 0 0 5 5 5
si2_b06_m200.06 3 1 0 0 0 0 0 0 0 0 5 5 5
si2_b06_m200.09 3 1 0 0 0 0 0 0 0 0 5 5 5
si2_b06_m200.07 3 1 0 0 0 0 0 0 0 0 5 5 6
si2_b06_m200.04 3 1 0 0 0 0 0 0 0 0 5 5 5
si2_b06_m200.08 3 1 0 0 0 0 0 0 0 0 5 5 5
si2_b06_m200.03 3 1 0 0 0 0 0 0 0 0 5 5 6
si2_b06_m200.05 3 1 0 0 0 0 0 0 0 0 5 5 6
si6_m4Dr2_m1296.05 6 1 34 34 34 34 34 35 35 35 538 535 532
si6_m4Dr2_m1296.09 6 1 34 34 33 34 34 34 36 35 503 498 498
si6_m4Dr2_m1296.01 6 1 34 34 34 34 34 34 34 35 498 498 496
si6_m4Dr2_m1296.06 6 1 34 33 34 33 33 35 34 34 530 531 531
si6_m4Dr2_m1296.07 6 1 33 33 34 34 33 34 35 34 529 532 531
si6_m4Dr2_m1296.03 6 1 34 33 34 34 34 35 34 35 528 528 530
si6_m4Dr2_m1296.04 6 1 33 34 33 34 33 34 34 35 527 529 527
si6_m4Dr2_m1296.00 6 1 32 32 33 34 33 34 34 35 522 522 517
si6_m4Dr2_m1296.08 6 1 33 33 32 34 33 35 35 35 533 530 531
si6_m4Dr2_m1296.02 6 1 33 34 34 32 32 35 35 34 523 527 524
si2_b09m_m800.09 4 1 1 1 1 1 1 1 2 1 62 60 61
