instance family sat glasgowdegreenorestartsnonogoods glasgowantinorestartsnonogoods glasgowrandomnorestartsnonogoods glasgowbiasednorestartsnonogoods glasgowdegreenorestartsnonogoodsdds glasgowrandom glasgowbiased glasgowbiasednonogoods glasgowbiasedconstant10000threads36v2 glasgowbiasedconstant10000triggeredthreads36v2 glasgowbiasedthreads36v2
si2_b03m_m800.07 4 1 36 36 36 36 36 36 36 36 299 240 413
si2_b03m_m800.00 4 1 46 46 46 46 46 46 46 46 1010 877 964
si2_r001_m200.06 7 1 29 680780 29 29 29 29 29 29 117 278 112
si2_r001_m200.01 7 1 124 62 128 163 1192 128 163 163 626 506 385
si2_r001_m200.02 7 1 59 60 41 69 405 41 69 69 259 254 169
si2_r001_m200.07 7 1 32 29 38 22 36 38 22 22 130 100 107
si2_r001_m200.04 7 1 76 54 69 62 93 69 62 62 581 242 428
si2_r001_m200.05 7 1 34 615 117 238250615 99 117 4100 710 161 204 258
si2_r001_m200.09 7 1 48 58 46 35 48 46 35 35 212 255 286
si2_r001_m200.03 7 1 31 24 26 30 31 26 30 30 172 163 164
si2_r001_m200.00 7 1 37 36 31 38 37 31 38 38 159 167 191
si2_r001_m200.08 7 1 104 130 29 107 260 29 107 107 619 664 965
si6_b03m_m800.01 4 1 35 35 35 35 35 35 35 35 35 35 75
si6_b03m_m800.08 4 1 21 21 21 21 21 21 21 21 21 72 37
si6_b03m_m800.03 4 1 26 26 26 26 26 26 26 26 40 37 104
si6_b03m_m800.00 4 1 29 29 29 29 29 29 29 29 29 29 29
si6_b03m_m800.04 4 1 44 44 44 44 44 44 44 44 44 44 44
si6_b03m_m800.05 4 1 33 33 33 33 33 33 33 33 39 168 55
si6_b03m_m800.07 4 1 32 32 32 32 32 32 32 32 32 32 32
si6_b03m_m800.06 4 1 47 46 47 47 47 47 47 47 47 82 94
si6_b03m_m800.09 4 1 35 35 35 35 35 35 35 35 35 42 35
si6_b03m_m800.02 4 1 33 33 33 33 33 33 33 33 33 33 33
si4_r005_m200.00 7 1 1387 3223 3770 1335 8187 3490 1590 2648 20140 14379 12943
si4_r005_m200.08 7 1 85 508 130 48 344 130 48 48 292 170 297
si4_r005_m200.02 7 1 841 358 789 1014 28864 1073 931 1251 12016 10945 12460
si4_r005_m200.05 7 1 88 203 173 26 786 173 26 26 432 326 243
si4_r005_m200.06 7 1 110 125 88 103 1202 88 103 103 1209 1130 1036
si4_r005_m200.04 7 1 226 11150 9941 236 2032 1034 236 236 315 280 808
si4_r005_m200.07 7 1 388 1708 330 424 1997 330 424 424 4072 3896 3905
si4_r005_m200.09 7 1 659 2114 963 856 4092 1148 1441 1095 3404 4492 3778
si4_r005_m200.01 7 1 46 1696 1339 209 216 703 209 209 280 234 367
si4_r005_m200.03 7 1 971 1510 1035 1380 5498 2107 1656 1802 2120 2231 2343
si6_b09m_m400.03 4 1 3 3 3 3 3 3 3 3 3 3 4
si6_b09m_m400.07 4 1 1 1 1 1 1 1 1 1 1 4 4
si6_b09m_m400.00 4 1 1 1 1 1 1 1 1 1 3 4 3
si6_b09m_m400.04 4 1 3 3 3 3 3 3 3 3 3 9 3
si6_b09m_m400.06 4 1 2 2 2 2 2 2 2 2 2 7 2
si6_b09m_m400.08 4 1 2 2 2 2 2 2 2 2 2 2 2
si6_b09m_m400.02 4 1 3 3 3 3 3 3 3 3 7 3 6
si6_b09m_m400.05 4 1 2 2 2 2 2 2 2 2 2 2 2
si6_b09m_m400.09 4 1 3 3 2 3 3 2 3 3 3 13 2
si6_b09m_m400.01 4 1 3 3 3 3 3 3 3 3 3 3 3
si2_b09_m200.08 3 1 3 3 3 3 3 3 3 3 7 8 9
si2_b09_m200.01 3 1 3 3 3 3 3 3 3 3 6 5 13
si2_b09_m200.06 3 1 3 3 3 3 3 3 3 3 7 8 10
