instance family sat glasgowdegreenorestartsnonogoodsinduced glasgowbiasedinduced
si2_b09_m800.07 3 1 3 3
si2_b09_m800.04 3 1 3 3
si2_b09_m800.05 3 1 3 3
si2_b09_m800.00 3 1 3 3
si2_b09_m800.02 3 1 3 3
si2_b09_m800.01 3 1 3 3
si2_b09_m800.08 3 1 3 3
si2_b09_m800.09 3 1 3 3
si2_b09_m800.03 3 1 3 3
si2_b09_m800.06 3 1 3 3
si6_b03_m400.04 3 1 3 3
si6_b03_m400.09 3 1 3 3
si6_b03_m400.02 3 1 3 3
si6_b03_m400.06 3 1 3 3
si6_b03_m400.05 3 1 3 3
si6_b03_m400.08 3 1 3 3
si6_b03_m400.01 3 1 3 3
si6_b03_m400.07 3 1 3 3
si6_b03_m400.03 3 1 3 3
si6_b03_m400.00 3 1 3 3
si2_r005_m600.03 7 1 64512 52492
si2_r005_m600.00 7 1 1202289 1161381
si2_r005_m600.06 7 1 116999 136246
si2_r005_m600.01 7 1 887825 1004887
si2_r005_m600.04 7 1 73137 56392
si2_r005_m600.09 7 1 9007 6280
si2_r005_m600.05 7 1 1018242 1057591
si2_r005_m600.02 7 1 231467 251785
si2_r005_m600.08 7 1 167727 143883
si2_r005_m600.07 7 1 117656 108665
si4_r01_m600.05 7 1 19008 19664
si4_r01_m600.02 7 1 59520 41027
si4_r01_m600.03 7 1 195170 179493
si4_r01_m600.07 7 1 60185 59761
si4_r01_m600.08 7 1 110207 159016
si4_r01_m600.06 7 1 275032 246189
si4_r01_m600.01 7 1 6591 9634
si4_r01_m600.04 7 1 6534 3064
si4_r01_m600.00 7 1 864 1142
si4_r01_m600.09 7 1 252469 294783
si2_b09_m400.04 3 1 3 3
si2_b09_m400.08 3 1 3 3
si2_b09_m400.05 3 1 3 3
si2_b09_m400.01 3 1 3 3
si2_b09_m400.03 3 1 3 3
si2_b09_m400.02 3 1 3 3
si2_b09_m400.07 3 1 3 3
si2_b09_m400.09 3 1 3 3
si2_b09_m400.06 3 1 3 3
si2_b09_m400.00 3 1 3 3
si4_b06_m200.06 3 1 3 3
si4_b06_m200.03 3 1 3 3
si4_b06_m200.02 3 1 3 3
si4_b06_m200.07 3 1 3 3
si4_b06_m200.05 3 1 3 3
si4_b06_m200.08 3 1 3 3
si4_b06_m200.00 3 1 3 3
si4_b06_m200.04 3 1 3 3
si4_b06_m200.01 3 1 3 3
si4_b06_m200.09 3 1 3 3
si4_r005_m400.06 7 1 923 702
si4_r005_m400.03 7 1 1149 815
si4_r005_m400.07 7 1 5434 6412
si4_r005_m400.01 7 1 744 578
si4_r005_m400.04 7 1 8039 8586
si4_r005_m400.00 7 1 1644 1357
si4_r005_m400.09 7 1 546 155
si4_r005_m400.05 7 1 998 1578
si4_r005_m400.08 7 1 25 49
si4_r005_m400.02 7 1 11497 10862
si4_m4Dr2_m1296.07 6 1 17 17
si4_m4Dr2_m1296.00 6 1 18 18
si4_m4Dr2_m1296.05 6 1 21 21
si4_m4Dr2_m1296.04 6 1 15 15
si4_m4Dr2_m1296.08 6 1 160 134
si4_m4Dr2_m1296.01 6 1 21 21
si4_m4Dr2_m1296.06 6 1 13 13
si4_m4Dr2_m1296.02 6 1 32 32
si4_m4Dr2_m1296.03 6 1 50 50
si4_m4Dr2_m1296.09 6 1 16 16
si6_b09_m800.03 3 1 3 3
si6_b09_m800.09 3 1 3 3
si6_b09_m800.07 3 1 3 3
si6_b09_m800.05 3 1 3 3
si6_b09_m800.04 3 1 3 3
si6_b09_m800.01 3 1 3 3
si6_b09_m800.00 3 1 3 3
si6_b09_m800.02 3 1 3 3
si6_b09_m800.06 3 1 3 3
si6_b09_m800.08 3 1 3 3
si6_b06m_m400.00 4 1 5 5
si6_b06m_m400.08 4 1 3 3
si6_b06m_m400.03 4 1 4 4
si6_b06m_m400.04 4 1 7 7
si6_b06m_m400.06 4 1 6 6
si6_b06m_m400.07 4 1 6 6
si6_b06m_m400.09 4 1 7 7
si6_b06m_m400.02 4 1 3 3
si6_b06m_m400.01 4 1 3 3
si6_b06m_m400.05 4 1 2 2
si2_m4Dr4_m1296.08 6 1 31 37
si2_m4Dr4_m1296.07 6 1 37 37
si2_m4Dr4_m1296.03 6 1 33 63
si2_m4Dr4_m1296.05 6 1 25 25
si2_m4Dr4_m1296.06 6 1 15 15
si2_m4Dr4_m1296.04 6 1 34 35
si2_m4Dr4_m1296.09 6 1 47 47
si2_m4Dr4_m1296.01 6 1 25 24
si2_m4Dr4_m1296.00 6 1 25 25
si2_m4Dr4_m1296.02 6 1 279 292
si6_m4Dr6_m1296.02 6 1 11 11
si6_m4Dr6_m1296.08 6 1 6 6
si6_m4Dr6_m1296.07 6 1 6 6
si6_m4Dr6_m1296.06 6 1 3 3
si6_m4Dr6_m1296.03 6 1 4 4
si6_m4Dr6_m1296.04 6 1 7 7
si6_m4Dr6_m1296.05 6 1 5 5
si6_m4Dr6_m1296.00 6 1 9 9
si6_m4Dr6_m1296.09 6 1 12 12
si6_m4Dr6_m1296.01 6 1 4 4
si4_m4Dr2_m256.00 6 1 9 8
si4_m4Dr2_m256.01 6 1 6 6
si4_m4Dr2_m256.05 6 1 6 6
si4_m4Dr2_m256.04 6 1 6 6
si4_m4Dr2_m256.08 6 1 4 4
si4_m4Dr2_m256.07 6 1 6 6
si4_m4Dr2_m256.06 6 1 9 9
si4_m4Dr2_m256.02 6 1 3 3
si4_m4Dr2_m256.09 6 1 3 3
si4_m4Dr2_m256.03 6 1 6 6
si4_b09m_m200.01 4 1 2 2
si4_b09m_m200.00 4 1 2 2
si4_b09m_m200.03 4 1 2 2
si4_b09m_m200.06 4 1 3 3
si4_b09m_m200.02 4 1 2 2
si4_b09m_m200.04 4 1 2 2
si4_b09m_m200.05 4 1 2 2
si4_b09m_m200.07 4 1 2 2
si4_b09m_m200.08 4 1 1 1
si4_b09m_m200.09 4 1 4 4
si4_m4Dr4_m625.07 6 1 15 15
si4_m4Dr4_m625.05 6 1 16 16
si4_m4Dr4_m625.01 6 1 11 11
si4_m4Dr4_m625.08 6 1 7 8
si4_m4Dr4_m625.09 6 1 22 20
si4_m4Dr4_m625.00 6 1 10 10
si4_m4Dr4_m625.04 6 1 11 11
si4_m4Dr4_m625.06 6 1 9 9
si4_m4Dr4_m625.03 6 1 13 13
si4_m4Dr4_m625.02 6 1 12 12
si4_m4Dr4_m1296.03 6 1 15 15
si4_m4Dr4_m1296.01 6 1 25 25
si4_m4Dr4_m1296.00 6 1 22 22
si4_m4Dr4_m1296.07 6 1 16 16
si4_m4Dr4_m1296.02 6 1 20 20
si4_m4Dr4_m1296.04 6 1 15 15
si4_m4Dr4_m1296.09 6 1 28 28
si4_m4Dr4_m1296.06 6 1 21 21
si4_m4Dr4_m1296.08 6 1 30 30
si4_m4Dr4_m1296.05 6 1 44 40
si2_r005_m400.05 7 1 74011 55232
si2_r005_m400.06 7 1 44772 27049
si2_r005_m400.08 7 1 9834 12577
